,title,description,resolution,log,log.1,log.2,log.3,log.4,log.5,log.6,log.7,log.8,log.9,log.10,log.11,log.12,log.13,log.14,log.15,log.16
142,title:Flask Error: 414 Request-URI Too Large,"description:I'm using Flask with Apache. When I send a GET request with a long url (19000+ characters), the response is

I suspect that the request triggers a werkzeug RequestURITooLarge Exception or a flask HTTPException. When I send a request with similar url length to Apache directly there is no error.  
Is there a way to increase the maximum url length that Flask handles?","
You can use POST instead of GET, but if you don't need to use it i think this question have related answer for your problem.
How do I resolve a HTTP 414 ""Request URI too long"" error?
",Status 414: Request-URI Too Large.,,,,,,,,,,,,,,,,
147,title:How do configure and access up my subversion repository after I install Subversion on my GoDaddy CentOS Dedicated Server,"description:I successfully installed subversion on my server. When I run the command:  

I get the response:  

I create a repository inside my root directory which is my httpdocs folder with the following command:  

I successfully created the following files and folders and configured them and I see the following files and directories inside the svn directory:  

But I cannot create trunk, branch, and tag directories. In fact I cannot create directories period. Here is the command I have been using:  

When I make this command the message I get is the following:  

Also When I type in url:

I get the follwoing message:  

What do I need to do to configure my repository, check to see if my repository is actually working. Oh and I did run the following command:","

I create a repository inside my root directory which is my httpdocs folder with the following command...

That's not how you get Subversion to work with Apache httpd if that's what you're trying to do. You need the mod_dav and mod_dav_svn modules for Apache. You might have to recompile Apache to get these.
Once you get mod_dav and mod_dav_svn installed, you need to configure your httpd.conf file (or put a configuration file under your httpd's conf.d depending how it's configured on your system) for it to work.
In the end, it's not all that difficult. Most Apache installations have mod_dav and mod_dav_svn added in, and you can see if your http.conf file is configured correctly. The on line Subversion manual will have everything you need to get it working.

svn: Could not use external editor to fetch log message; consider setting the
  $SVN_EDITOR environment variable or using the --message (-m) or --file (-F) options
  svn: None of the environment variables SVN_EDITOR, VISUAL or EDITOR are set, and no
  'editor-cmd' run-time configuration option was found

Read the message. It says Could not use external editor because you didn't specify one. Again the Subversion on line manual explains it in detail. 
Basically, when you commit a change in Subversion, you need to create a commit message. This can be done in two ways:

You use the -m option like svn commit -m ""This is my commit message"".
You set the variables SVN_EDITOR, VISUAL, or EDITOR to the name of the program you want to use. For example, in Windows, you'd say C:> set EDITOR=notepad.exe. On Unix, you'd say something like $ export EDITOR=vi. Subversion first checks the value of the SVN_EDITOR variable, then VISUAL, then EDITOR. If none of them are set, it gives you the error you saw.

Why did you get it on the svn mkdir command?
Because you use the URL form of the command, it will make the directory, then commit the change, thus the need for a commit message. This should work:
svn mkdir -m""Adding the site directory to my repository"" file:///httpdocs/svn/site

Now, you need to move your repository out of your HTTPDOCs directory. That's a very bad thing to have because it hurts your web server.
If you don't want to use the file:// protocol, you can use svnserve. This is a built-in Subversion repository server and uses the svn:// protocol. Observe:
$ svnadmin create my_repos   #Creates the repository
$ vi my_repos/conf/svnserve.conf  #See footnote 1 below
$ vi my_repos/conf/passwd         #See footnote 1 below
$ svnserve -r my_repos -d
$ svn mkdir -m ""Making basic directory layout svn://localhost/trunk \
> svn://localhost/tags svn://localhost/branches
$ export SVN_EDITOR=""vi""

Your repository also becomes accessible to all the machines on your network too. Using svnserve is much simpler than Apache httpd, but there are a few issues:

You can't run multiple instances of svnserve since it wants to use port 3690 and it doesn't like to share. With Apache httpd, you can have multiple repositories.
Security setup with svnserve is limited. With Apache, I can use Windows Active directory or LDAP or I can configure it manually.
Some web based subversion repository browsers don't like svnserve.

By the way, if you haven't, go through the Subversion on line manual. It's one of the best manuals I've seen for any open source project.

1 When you setup your repository using svnserve, you need to edit the svnserve.conf file by enabling the line password-db = passed which is about line #20 in the file. Then you have to edit the passed file (located in the same directory) to configure the users and their passwords. Both are very straight forward, but easy to forget, and if you don't do it, you can't commit anything into your repository.
","svn: Could not use external editor to fetch log message; consider setting the
$SVN_EDITOR environment variable or using the --message (-m) or --file (-F) options
svn: None of the environment variables SVN_EDITOR, VISUAL or EDITOR are set, and no
'editor-cmd' run-time configuration option was found",404 - Not Found,,,,,,,,,,,,,,,
151,title:Apache 500 Error with PHP Fun,"description:So I am running a PHP script on my godaddy (don't hate me) virtual server which I am expecting to take around 5 minutes to finish executing. The script is CURLing pages but never holds more than 1 page at a time (it is done in a loop reusing the same variable).
I modified my php5.ini file to the following:

I verified through phpinfo that the ini file changes had taken effect, however I am getting an Apache 500 error after 120 seconds. Here is the error log for this time:

If anyone has any ideas on why I might be getting these errors or any suggestion on things to try I would appreciate the help. I did notice an option in the php settings set at 120, but I'm not sure if it would have an effect: realpath_cache_tt
I also set a time limit in the .php file: set_time_limit( 600 );
Thanks in advance.
UPDATE:
Here is what I tried in the .htaccess file:

The  causes an Apache 500 error on any page load.
I also disabled FastCGI but the issue is still occuring.
RESOLVED
RobB suggested the following:
    
      IPCCommTimeout  7200
    
Which should have worked however due to my godaddy shared hosting it is not allowed. Time to find a new hosting service.","
I'm not sure of the handling with this issue on GoDaddy but the normal resolution would be as follows:
The issue that you are experiencing is due to FastCGI executing a PHP script but it doesn't generate a response within the default IO timeout (120 seconds), which results in the 500 Internal Server Error.
Try editing the default VirtualHost conf file, typically located at /etc/apache2/sites-available/default and add this directive inside the <VirtualHost> context:
<IfModule mod_fcgid.c>
   IPCCommTimeout  7200
</IfModule>

After saving the modification, restart apache2 with this command: sudo /etc/init.d/apache2 restart.
From what I've been able to determine from GoDaddy is that the maximum time limit is 120 seconds for PHP/FastCGI in shared hosting, which can not be increased by the client.  I would suggest contacting their support for assistance and hopefully their reputation won't serve up and you'll be able to get help.
Update:
Not sure if it will help but you could try changing from FastCGI to PHP5 in your hosting control center (Settings > File Extension > php5). 
","[Wed Jul 11 22:08:52 2012] [warn] [client **.**.**.***] mod_fcgid: read data timeout in   120 seconds
[Wed Jul 11 22:08:52 2012] [error] [client **.**.**.***] Premature end of script headers: test.php",,,,,,,,,,,,,,,,
153,title:The 'Access-Control-Allow-Origin' header with apache,"description:When I send a request to the mentioned URL from POSTMAN, it works fine.
However, when sent through my angular application, running at demo.aonesalons.com, 
I get:

If I directly hit https://api.aonesalons.com/dbsynch/webocitysalonpos/in browser, it works. However, when the same url is accessed from angular app running at demo.aonesalons.com, it throws multiple CORS header error
In angular app or on directly hitting it in browser, I see that response for this request is 200, with this response:

When I hit it through postman, 

All my requests are proxied through apache server which has 
Access-Control-Allow-Origin:*
but 
before coming up with *, I had

Now, 
After having switched it to , all response headers have  Access-Control-Allow-Origin: except for this request to couchdb . I am not sure where it is picking this from.
Here's what my ssl.conf looks like:","
As stated in the error message:
The 'Access-Control-Allow-Origin' header contains multiple values '*, https://demo.aonesalons.com', but only one is allowed

Only one entry of Access-Control-Allow-Origin is allowed in a HTTP response. Now since you are using a ProxyPass, it is highly likely that the target application creates it's own header entry for Access-Control-Allow-Origin, which your Apache Server forwards - and in addition to that, it adds the entry containing *, since you specified this in your configuration.
So I guess that in your Angular app you have somewhere something like .header(""Access-Control-Allow-Origin"",""(something)""); if you remove this, your app should be accessible via your Apache server.
Alternatively, you may remove the entry Header always set Access-Control-Allow-Origin ""*"" in your apache config and alter your Angular app in a way that it set the correct header.
","Failed to load https://api.aonesalons.com/dbsynch/webocitysalonpos/: The 'Access-Control-Allow-Origin' header contains multiple values '*, https://demo.aonesalons.com', but only one is allowed. Origin 'https://demo.aonesalons.com' is therefore not allowed access.",,,,,,,,,,,,,,,,
154,title:how to change/hide server directory name?,"description:I have question. I have some app on facebook and getting this error

but no matter at this time.. the matter is that, is it possible to change/hide this ""xxx"" name? you understand? for example, instead this I would have /public_html/domain/... 
OR completely hide the path ??
thanks in advance =)","
The recommended action would be to disable the public display of all PHP errors when you are in production mode.
To do that, edit your php.ini file and set display_errors to 0.  You can still set the error_reporting level to something suitable and all errors will be logged to the error_log file, but the actual errors themselves are not visible to the end user.
Otherwise, there is no way to modify PHP's built in error messages to hide the path.  Doing so would render the error message much less helpful.
See display_errors and error_reporting PHP directives.
EDIT: In the case of the exact error message in your question, you could handle the error (try/catch) and then display a more friendly error that helps you but also doesn't expose your path.  The reason it is displaying like that is because an exception that was thrown was uncaught.
","Fatal error: Uncaught OAuthException: An active access token must be used to query 
             information about the current user. thrown in 
             /home/xxx/public_html/domain/lib/base_facebook.php on line 1024",,,,,,,,,,,,,,,,
158,title:a lots of (Permission denied) in catalina.out,"description:How can i install Apache web server and Apache tomcat to avoid get errors like this:


java.io.FileNotFoundException: /usr/local/apache-tomcat-7.0.5/work/Catalina/localhost/_/SESSIONS.ser (Permission denied)


in /usr/local/apache-tomcat-7.0.5/logs/catalina.out

I think I should do something for Apache user, because when I chmod 777 -R ./ on tomcat folder all errors disappear.","
$ chmod -R 777 webapps temp logs work conf

Is VERY dangerous, do not do it, did I write ""not do it"" ? DO NOT DO IT! Guess where your tomcat-users.xml is with your usernames and plain-text passwords ?
Giving world read-write-execute anywhere on UNIX except /tmp (and even then, in prod, NEVER do that either) is plain stupid. And, it makes your first line, chown -R tomcat6  completely useless. 
make sure tomcat runs as tomcat7 (it is tomcat6 for tomcat 6) and simply do:
$ cd $TOMCAT_BASE
$ chown -R tomcat7:tomcat7 webapps temp logs work conf
$ chmod -R 660 webapps temp logs work conf

[EDIT] changed 770 to 660 following comment, because the files in question need not be executed.
If you want to be able to read, write, or execute stuff there, add yourself to the tomcat7 group. 
",java.io.FileNotFoundException: /usr/local/apache-tomcat-7.0.5/work/Catalina/localhost/_/SESSIONS.ser (Permission denied),,,,,,,,,,,,,,,,
159,title:Error while installing camel-jetty feature in Fuse ESB,"description:I am trying to configure Fuse ESB on my Windows 7 machine. Here are the configs.

After starting the ServiceMix console, I am trying to install camel-jetty using the following command.

Which fails with the following message.

Full log message is as follows.

Can anybody please help me out here?
The org.ops4j.opx.url.mvn.cfg file contents are as follows","
This error means Fuse ESB could not found the camel-http artifact from any repository available.
Fuse search in its local repository first and then on configured remote maven repositories.
All the configuration is done in <%Fuse Install dir%>\etc\org.ops4j.pax.url.mvn.cfg
See http://fusesource.com/docs/esb/4.4/esb_deploy_osgi/Locate-RunTime.html for more details about how to configure it properly.
","Error executing command: URL [mvn:org.apache.camel/camel-http/2.8.0-fuse-02-02]
  could not be resolved.","12:37:45,299 | INFO  | l Console Thread | FeaturesServiceImpl              | 39 - org.apache.karaf.features.core - 2.2.2.fuse-03-02 | Installing feature camel-jetty 2.8.0-fuse-02-02
12:37:45,299 | INFO  | l Console Thread | FeaturesServiceImpl              | 39 - org.apache.karaf.features.core - 2.2.2.fuse-03-02 | Installing feature jetty 7.4.5.fuse20111017
12:37:45,299 | INFO  | l Console Thread | FeaturesServiceImpl              | 39 - org.apache.karaf.features.core - 2.2.2.fuse-03-02 | Installing feature camel-core 2.8.0-fuse-02-02
12:37:45,299 | INFO  | l Console Thread | FeaturesServiceImpl              | 39 - org.apache.karaf.features.core - 2.2.2.fuse-03-02 | Installing feature camel-http 2.8.0-fuse-02-02
12:37:45,299 | INFO  | l Console Thread | FeaturesServiceImpl              | 39 - org.apache.karaf.features.core - 2.2.2.fuse-03-02 | Installing feature camel-core 2.8.0-fuse-02-02
12:37:58,718 | INFO  | l Console Thread | Console                          | 32 - org.apache.karaf.shell.console - 2.2.2.fuse-03-02 | Exception caught while executing command
java.lang.RuntimeException: URL [mvn:org.apache.camel/camel-http/2.8.0-fuse-02-02] could not be resolved.
    at org.ops4j.pax.url.mvn.internal.Connection.getInputStream(Connection.java:195)[2:org.ops4j.pax.url.mvn:1.2.6.fuse-01]
    at org.apache.felix.bundlerepository.impl.FileUtil.openURL(FileUtil.java:203)[6:org.apache.felix.bundlerepository:1.6.4]
    at org.apache.felix.bundlerepository.impl.FileUtil.openURL(FileUtil.java:196)[6:org.apache.felix.bundlerepository:1.6.4]
    at org.apache.felix.bundlerepository.impl.DataModelHelperImpl$2.loadEntry(DataModelHelperImpl.java:452)[6:org.apache.felix.bundlerepository:1.6.4]
    at org.apache.felix.bundlerepository.impl.DataModelHelperImpl$2.<init>(DataModelHelperImpl.java:411)[6:org.apache.felix.bundlerepository:1.6.4]
    at org.apache.felix.bundlerepository.impl.DataModelHelperImpl.createResource(DataModelHelperImpl.java:404)[6:org.apache.felix.bundlerepository:1.6.4]
    at org.apache.karaf.features.obr.internal.ObrResolver.resolve(ObrResolver.java:75)[28:org.apache.karaf.features.obr:2.2.2.fuse-03-02]
    at org.apache.karaf.features.internal.FeaturesServiceImpl.resolve(FeaturesServiceImpl.java:505)[39:org.apache.karaf.features.core:2.2.2.fuse-03-02]
    at org.apache.karaf.features.internal.FeaturesServiceImpl.doInstallFeature(FeaturesServiceImpl.java:474)[39:org.apache.karaf.features.core:2.2.2.fuse-03-02]
    at org.apache.karaf.features.internal.FeaturesServiceImpl.doInstallFeature(FeaturesServiceImpl.java:453)[39:org.apache.karaf.features.core:2.2.2.fuse-03-02]
    at org.apache.karaf.features.internal.FeaturesServiceImpl.installFeatures(FeaturesServiceImpl.java:292)[39:org.apache.karaf.features.core:2.2.2.fuse-03-02]
    at org.apache.karaf.features.internal.FeaturesServiceImpl.installFeature(FeaturesServiceImpl.java:280)[39:org.apache.karaf.features.core:2.2.2.fuse-03-02]
    at org.apache.karaf.features.internal.FeaturesServiceImpl.installFeature(FeaturesServiceImpl.java:276)[39:org.apache.karaf.features.core:2.2.2.fuse-03-02]
    at org.apache.karaf.features.command.InstallFeatureCommand.doExecute(InstallFeatureCommand.java:62)[17:org.apache.karaf.features.command:2.2.2.fuse-03-02]
    at org.apache.karaf.features.command.FeaturesCommandSupport.doExecute(FeaturesCommandSupport.java:39)[17:org.apache.karaf.features.command:2.2.2.fuse-03-02]
    at org.apache.karaf.shell.console.OsgiCommandSupport.execute(OsgiCommandSupport.java:38)[32:org.apache.karaf.shell.console:2.2.2.fuse-03-02]
    at org.apache.felix.gogo.commands.basic.AbstractCommand.execute(AbstractCommand.java:35)[32:org.apache.karaf.shell.console:2.2.2.fuse-03-02]
    at org.apache.felix.gogo.runtime.CommandProxy.execute(CommandProxy.java:78)[32:org.apache.karaf.shell.console:2.2.2.fuse-03-02]
    at org.apache.felix.gogo.runtime.Closure.executeCmd(Closure.java:474)[32:org.apache.karaf.shell.console:2.2.2.fuse-03-02]
    at org.apache.felix.gogo.runtime.Closure.executeStatement(Closure.java:400)[32:org.apache.karaf.shell.console:2.2.2.fuse-03-02]
    at org.apache.felix.gogo.runtime.Pipe.run(Pipe.java:108)[32:org.apache.karaf.shell.console:2.2.2.fuse-03-02]
    at org.apache.felix.gogo.runtime.Closure.execute(Closure.java:183)[32:org.apache.karaf.shell.console:2.2.2.fuse-03-02]
    at org.apache.felix.gogo.runtime.Closure.execute(Closure.java:120)[32:org.apache.karaf.shell.console:2.2.2.fuse-03-02]
    at org.apache.felix.gogo.runtime.CommandSessionImpl.execute(CommandSessionImpl.java:89)[32:org.apache.karaf.shell.console:2.2.2.fuse-03-02]
    at org.apache.karaf.shell.console.jline.Console.run(Console.java:240)[32:org.apache.karaf.shell.console:2.2.2.fuse-03-02]
    at java.lang.Thread.run(Unknown Source)[:1.6.0_30]",,,,,,,,,,,,,,,
162,title:Custom error page in Apache2 for 401,"description:Here's the relevant part of the .htaccess file:

Docuement root is set to /var/www/mywebsite/web, it's on of many vhosts.  I can navigate to the index.html page.
All I'm seeing is the generic Apache 401 page, any thoughts.
EDIT: This is the error message in my browser:","
Make sure that /var/www/errors is readable by the apache user and include this in your apache configuration:
<Directory /var/www/errors>
  Order allow,deny
  Allow from all
</Directory>

","Authorization Required
This server could not verify that you
  are authorized to access the document
  requested. Either you supplied the
  wrong credentials (e.g., bad
  password), or your browser doesn't
  understand how to supply the
  credentials required.
Additionally, a 401 Authorization
  Required error was encountered while
  trying to use an ErrorDocument to
  handle the request. Apache/2.2.9
  (Debian) PHP/5.2.6-1+lenny8 with
  Suhosin-Patch Server at www.dirbe.com
  Port 80",,,,,,,,,,,,,,,,
163,title:Curl hangs my apache server when doing POST to https,"description:I have this very weird issue with curl, when I do a post request to my ubuntu apache server the apache server hangs, if I debug my php code I can see that 

Never returns. I think the actual post request is correct because I can successfully do the same POST request with postman.
Below are my curl options :

One weird thing is that if im quick, and reload my apache server 

while its in this hanged state the curl_exec immediately returns and I get my data. Im not a real web developer and more of a windows guy so any help would be greatly appreciated. :)
UPDATE
I can see no error reporting from Curl since the process hangs. It never comes to the point where it can give me the error. When I reload the apache server the request returns and then there are no errors reported. I added the CURLOPT_VERBOSE option.
UPDATE 2: 
OK I can also run the post from curl commandline both from the host and the client. Worth mentioning is that my host is a virtual machine. Beginning to think its more of a network thing.","
OK I finally solved this stupid error with the help of this thread
PHP curl exec fail on php script same domain
The solution was to add:
session_write_close();

before the curl_exec
and then 
session_start();

After. I hope I can help someone by writing it here.
",sudo service apache reload,,,,,,,,,,,,,,,,
171,"title:htaccess file deny from all, redirects to 404 not found on 403.shtml but no custom error pages defined","description:I'm setting up a quick internal project in a new addon domain in cPanel. This particular one has an SSL cert installed. I was building my .htaccess up and added a <Files config.php> directive to deny from all so that my config.php file isn't accessible. I realise that storing it outside of the web root is the ideal but I can't in this case.
Normally I would expect that when going to www.domain.com/config.php in a browser that I would get Apache's default 403 Forbidden page. This is what happens on other domains on the same server. But in this case I'm being given a 404 not found error, stating:

I would normally expect this if I was attempting to define custom error documents but in this case, I'm not!
The only thing that makes this domain different to all the others in the same cPanel account is the fact it has an SSL certificate. And this 404 error is the same regardless of navigating using http or https. I've tried clearing cache and still the same.
Can anyone see anything in my .htaccess below that might be causing this?

EDIT: Could it be anything to do with the way cPanel handles primary and addon domains?
In a cPanel account you have a primary domain whose files live under public_html then you define addon domains (or subdomains) whose files live under public_html/addondomain.com/
Would the .htaccess for the primary domain at public_html/.htaccess be affecting/overriding that of addon domains at public_html/addondomain.com/.htaccess?
I know .htaccess does cascade down through directories but is that the case even above a particular domain's DocumentRoot, e.g.: in the case of this addon domain?
EDIT 2: Just for info here are the responses to both HTTP requests, bypassing any caching

You see the 2nd one gets the 301 redirect but it's redirecting to the 403.shtml. So the 403.shtml has already been injected before the rewrite to the www. happens.","
This was not reproducible on a vanilla Apache installation so I started to further interrogate cPanel. So after plenty of mucking around I have tracked down the issue. cPanel does indeed set the ErrorDocument directive for you and it's not very clever at all. Especially when it sets the ErrorDocuments to documents that are visibly identical to the Apache defaults.
It's not obvious where this happens either as the ErrorDocument cPanel screen is blank.
cPanel's httpd.conf is built from quite a few included configs and tucked away there is...
/usr/local/apache/conf/includes/errordocument.conf
...
# 403 - Forbidden
ErrorDocument 403 /403.shtml
So there we go, that's where the 403.shtml is appearing in the request. cPanel's setting the error documents for me. To avoid the confusion of seeing the 404 on the 403 I've set my own 403 error message so at least they are consistent.
I hope this helps someone out!
","Not Found
  The requested URL /403.shtml was not found on this server.
  Additionally, a 404 Not Found error was encountered while trying to use an ErrorDocument to handle the request.",,,,,,,,,,,,,,,,
172,title:Apache is trying to serve noindex.html but errorhandler for 403 is set different?,"description:So i have just set new Error Handlers in httpd.conf for custom error pages:

But when i am trying to reach my forbidden subdomain (index.php) i get this:

But if i try the subdomain/jskldfjkd (and subdomain/forbiddendic/ also) it gives the correct error page. In the error logs Apache sais it searches for noindex.html. How can i solve this?","
In welcome.conf was standing the following:
<LocationMatch ""^/+$"">
    Options -Indexes
    ErrorDocument 403 /error/noindex.html
</LocationMatch>

I removed it, and now it works :)
","You don't have permission to access / on this server.
Additionally, a 404 Not Found error was encountered while trying to
  use an ErrorDocument to handle the request.",,,,,,,,,,,,,,,,
174,title:Mac OS Mountain Lion - Apache running but localhost not working [closed],"description:Closed. This question is off-topic. It is not currently accepting answers.                    










Want to improve this question? Update the question so it's on-topic for Stack Overflow.


Closed 10 years ago.








                        Improve this question

                    



I loaded Apache Web server on Mac OS Mountain Lion with the command

However, when I try to open localhost in Firefox, I get the message

I edited both httpd.conf and httpd.conf.default to change

to

It still doesn't work. Any suggestions?","
To verify that a process is listening on port 80, you can use lsof in a terminal window:
$ sudo lsof -iTCP:80 -sTCP:LISTEN
COMMAND   PID USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
httpd      88 root    4u  IPv6 0xffffff8018804600      0t0  TCP *:http (LISTEN)
httpd      90 _www    4u  IPv6 0xffffff8018804600      0t0  TCP *:http (LISTEN)
httpd   14843 _www    4u  IPv6 0xffffff8018804600      0t0  TCP *:http (LISTEN)

This will verify that you successfully enabled apache.
(I have xcode installed, but I think lsof is part of the normal install)
ADDED:
That confirms that apache is listening on port 80. The next step I would take is to look at the access logs, to see what apache logged when you requested '/' as shown in the error apache returned to your browser. This is what mine shows. Note that the http GET request is shown with the return code 200 (success):
bash-3.2# grep 'GET / ' /private/var/log/apache2/access_log 
127.0.0.1 - - [12/Sep/2012:16:46:45 -0400] ""GET / HTTP/1.1"" 200 44
127.0.0.1 - - [12/Sep/2012:16:49:44 -0400] ""GET / HTTP/1.1"" 200 44

You can also confirm what url your browser is requesting by refreshing your browser window, then confirming that apache logs that new request to the access_log. 
",Not Found: The requested URL / was not found on this server. Apache/2.2.21 (Unix) DAV/2 Server at localhost Port 80,,,,,,,,,,,,,,,,
175,title:Apache Reverse Proxy changes status code,"description:Background
We have been running an application on JBoss that is exposed to the clients via an Apache Reverse Proxy. We recently introduced ""HTTP 429 Too many requests"" to slow down high velocity requests.

Problem
However, it seems that apache2 changes the HTTP status code from 429 to 500.
Root cause analysis

Confirmed from JBoss that it sends HTTP 429, by bypassing the proxy, and talking to it directly.

Confirmed from /var/log/apache2/access.log, that apache2 gets HTTP 429
 10.0.0.161 - - [16/Jul/2014:07:27:47 +0000] ""POST /the/URL/ HTTP/1.1"" 429 1018 ""-"" ""curl/7.36.0"" |0/466110|


Curl Client gets 500, somehow.


There's also been a bug filed few years back on Bugzilla #900827. I remember reading that it has been fixed in 2.2.18. Yet, I still face the problem -- which leads me to think there's probably a different problem altogether.
Questions

As I have read elsewhere, Apache might not relay the code perfectly for custom HTTP status codes. But isn't HTTP 429 as a part of additional HTTP status codes RFC, a standard code enough to be recognised and relayed?
Is there something crucial that I am missing here?

PS: Since this question is more about HTTP status spec, I asked here. If the community feels its more about apache, please feel free to vote to move the question to Server Fault.","
I just stumbled upon your question because i was once again researching a similar problem, where our Apache Reverse Proxy returned a 500 status code on an ActiveSync Response 449. 
I also found the Bugzilla entry you mentioned and the statments that it should have been fixed with version 2.2.18, however we use 2.2.22 and still faced the problem. 
After further reading into the comments in the Bugzilla entry which then lead to the apache bug entry #44995. Reading these comments, especially the last one lead me to the believe that the issue, especially with custom error codes without status message has not been fixed in any 2.2.x versions but is included in 2.3/2.4
So we moved on and updated our reverse proxy to a 2.4 version, and to our surprise the error code 449 was correctly passed over by the proxy.
As you didnt mentioned your apache2 version used, i can only guess that an update to 2.4 or 2.3 might be a possible solution for you.
","10.0.0.161 - - [16/Jul/2014:07:27:47 +0000] ""POST /the/URL/ HTTP/1.1"" 429 1018 ""-"" ""curl/7.36.0"" |0/466110|",,,,,,,,,,,,,,,,
179,title:PHP: mysqli extension doesn't load,"description:I try to use MySQL with PHP and I have this error:

When doing print_r( get_defined_functions()), I see that the MySQLi extension isn't there, but it is ""loaded"" in the php.ini file (I mean this is not in a commentary).
I specify that the PHP directory is in the PATH (I'm under windows) and MySQL, PHP and Apache are on my C: disk.
I don't know where is the problem, this is probably a small thing but I can't see which one so. 
My versions are: 

PS : php_mysqli.dll do only 97k. I don't know if it's normal.
HOW I SOLVED THIS : I have just added extension_dir=""path_to_php\ext"" under the lines who load extentions, in the php.ini file. This line is used to indicate where are the extentions in your hard disk. Don't forget to restart your server, it will reload the php.ini file.","
First of all, run phpinfo() to make sure you are looking at the correct php.ini.
If your php.ini file has extension=php_mysqli.dll uncommented check your extension directory. You may need to set it explicitly, like:
extension_dir=""C:\xampp\php\ext""

If the problem persists check the apache error log, you should find more info there.
",Fatal error: Uncaught Error: Call to undefined function mysqli_connect() in 'file_name Stack trace: #0 {main} thrown in 'file_name'`,,,,,,,,,,,,,,,,
184,title:Apache Tomcat No 'Access-Control-Allow-Origin' header is present on the requested resource,"description:I am getting the following CORS message:

What I have done to try to fix the issue is to add a CORS filter, but that didn't solve the issue.

The only way I can get around the issue is by using Google Chrome with a --user-data-dir=""C:/Chrome dev session"" --disable-web-security target, but this is not ideal for me. How do I enable Access-Control-Allow-Origin on Apache Tomcat?","
I fixed the access-control-allow-origin header error given by an Angular app by adding a CORS filter alongside some attributes to web.xml of Tomcat.
<filter>
  <filter-name>CorsFilter</filter-name>
  <filter-class>org.apache.catalina.filters.CorsFilter</filter-class>
  <init-param>
    <param-name>cors.allowed.origins</param-name>
    <param-value>http://localhost:4200</param-value>
  </init-param>
  <init-param>
    <param-name>cors.allowed.methods</param-name>
    <param-value>GET,POST,HEAD,OPTIONS,PUT</param-value>
  </init-param>
  <init-param>
    <param-name>cors.allowed.headers</param-name>
    <param-value>Content-Type,X-Requested-With,accept,Origin,Access-Control-Request-Method,Access-Control-Request-Headers</param-value>
  </init-param>
  <init-param>
    <param-name>cors.exposed.headers</param-name>
    <param-value>Access-Control-Allow-Origin,Access-Control-Allow-Credentials</param-value>
  </init-param>
  <init-param>
    <param-name>cors.support.credentials</param-name>
    <param-value>true</param-value>
  </init-param>
  <init-param>
    <param-name>cors.preflight.maxage</param-name>
    <param-value>10</param-value>
  </init-param>
</filter>
<filter-mapping>
  <filter-name>CorsFilter</filter-name>
  <url-pattern>/*</url-pattern>
</filter-mapping>

","Access to XMLHttpRequest at 'http://localhost:8080/ottoautomaatitv2/webservice?postitoimipaikka=mikkeli' 
from origin 'http://localhost:4200' has been blocked by CORS policy: 
No 'Access-Control-Allow-Origin' header is present on the requested resource.",,,,,,,,,,,,,,,,
198,title:PHP Show Current Date/Time of Server [duplicate],"description:This question already has answers here:                    



""date(): It is not safe to rely on the system's timezone settings...""


                                (25 answers)

                            

Closed 8 years ago.



When I used this script:

I get 

All I am trying to show is the current date/time of the server and print it to php script. I thought the server (freebsd) would of set the time zone. How can I show the current date of the server and print it with php script?","
Well, read what the error message is telling you, the most important part:

You are required to use the date.timezone setting or the date_default_timezone_set() function.

Do it!
","Warning: strftime(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /usr/local/www/apache22/data/virtual/midterm/boballo.php on line 3
Sun Jul 6 20:41:17 2014",,,,,,,,,,,,,,,,
200,title:Apache Server Throwing 500 Internal Server Error,"description:I had a LAMP application running wordpress and I deleted the whole directory and replaced with new files - php based.
Now, when I go to view my server running CentOS - it just shows a 500 Internal Server error. 
I've tried:

restarting server
restarting apache service itself

both completed successfully, but this didn't fix anything. Now, I do not know where to go from here.
apache logs @ /usr/local/apache/logs/error_log on apache:","
I found the fix myself, this wasn't an error with Mysql at all, but rather a permissions issue with the index.php file I had. 
The error, which I found in /usr/local/apache/logs/error_log was:
    :is smaller than min_uid Premature end of script headers: index.php
To fix, I did this:

ls -l in the directory causing the issue (mine was public_html)
You should see the index file (e.g. index.php) that should be causing the issue. It is due to a root user having the only permission to the file and not your CPanel (or system) username. (note this system/cpanel name)
Run the following within the errorneous directory(Note: this command must be run within all subdirectories of the primary errorneous directory.):
sudo chown yoursystemuserhere:yoursystemgroupuserhere index.php

or to apply to the whole directory (thanks to @Prix):
sudo chown -R user:group /folder

You're all set.

Further literature here: http://www.inmotionhosting.com/support/website/general-server-setup/uid-smaller-than-min-uid
I hope this helps someone else in the future.
","[Tue Apr 22 11:12:15 2014] [error] [] SoftException in Application.cpp:357: UID of script ""index.php"" is smaller than min_uid",,,,,,,,,,,,,,,,
